repoName,classid,file,startline,endline,pcid,similarity,granularity
ajenti,1,../clone_code/trad/ajenti/ajenti/plugins/smartctl/widget.py.pyindent,16,21,173,100,blocks
ajenti,1,../clone_code/trad/ajenti/ajenti/plugins/hddtemp/sensor.py.pyindent,15,20,2589,100,blocks
ajenti,1,../clone_code/trad/ajenti/ajenti/plugins/hdparm/widget.py.pyindent,16,21,1287,100,blocks
ajenti,2,../clone_code/trad/ajenti/ajenti/plugins/smartctl/widget.py.pyindent,73,78,187,100,blocks
ajenti,2,../clone_code/trad/ajenti/ajenti/plugins/hddtemp/widget.py.pyindent,25,30,2599,100,blocks
ajenti,2,../clone_code/trad/ajenti/ajenti/plugins/network/widget.py.pyindent,135,140,2777,100,blocks
ajenti,2,../clone_code/trad/ajenti/ajenti/plugins/fstab/widget.py.pyindent,26,31,2396,100,blocks
ajenti,2,../clone_code/trad/ajenti/ajenti/plugins/hdparm/widget.py.pyindent,53,58,1297,100,blocks
ajenti,2,../clone_code/trad/ajenti/ajenti/plugins/network/widget.py.pyindent,106,111,2771,100,blocks
ajenti,3,../clone_code/trad/ajenti/ajenti/plugins/main/controls_dialogs.py.pyindent,51,54,229,100,blocks
ajenti,3,../clone_code/trad/ajenti/ajenti/plugins/main/controls_dialogs.py.pyindent,153,156,257,100,blocks
ajenti,4,../clone_code/trad/ajenti/ajenti/plugins/main/controls_dialogs.py.pyindent,101,106,241,100,blocks
ajenti,4,../clone_code/trad/ajenti/ajenti/plugins/main/controls_dialogs.py.pyindent,146,151,254,100,blocks
ajenti,5,../clone_code/trad/ajenti/ajenti/plugins/tasks/tasks.py.pyindent,54,57,501,100,blocks
ajenti,5,../clone_code/trad/ajenti/ajenti/plugins/tasks/tasks.py.pyindent,88,91,508,100,blocks
ajenti,6,../clone_code/trad/ajenti/ajenti/plugins/services/sm_sysvinit.py.pyindent,42,49,838,100,blocks
ajenti,6,../clone_code/trad/ajenti/ajenti/plugins/services/sm_sysvinit_centos.py.pyindent,33,37,923,100,blocks
ajenti,7,../clone_code/trad/ajenti/ajenti/plugins/services/sm_upstart.py.pyindent,44,47,878,100,blocks
ajenti,7,../clone_code/trad/ajenti/ajenti/plugins/services/sm_systemd.py.pyindent,48,51,936,100,blocks
ajenti,8,../clone_code/trad/ajenti/ajenti/plugins/squid/main.py.pyindent,44,46,1283,100,blocks
ajenti,8,../clone_code/trad/ajenti/ajenti/plugins/samba/main.py.pyindent,94,96,2209,100,blocks
ajenti,8,../clone_code/trad/ajenti/ajenti/plugins/netatalk/main.py.pyindent,38,40,2407,100,blocks
ajenti,8,../clone_code/trad/ajenti/ajenti/plugins/supervisor/main.py.pyindent,43,45,1558,100,blocks
ajenti,9,../clone_code/trad/ajenti/ajenti/plugins/nsd/main.py.pyindent,78,81,1324,100,blocks
ajenti,9,../clone_code/trad/ajenti/ajenti/plugins/bind9/main.py.pyindent,84,87,1727,100,blocks
ajenti,10,../clone_code/trad/ajenti/ajenti/usersync/ldapsync.py.pyindent,73,76,2915,100,blocks
ajenti,10,../clone_code/trad/ajenti/ajenti/usersync/adsync.py.pyindent,83,86,2956,100,blocks
ajenti,10,../clone_code/trad/ajenti/ajenti/usersync/unix.py.pyindent,32,35,2925,100,blocks
ajenti,11,../clone_code/trad/ajenti/ajenti/usersync/ldapsync.py.pyindent,78,80,2916,100,blocks
ajenti,11,../clone_code/trad/ajenti/ajenti/usersync/adsync.py.pyindent,88,90,2957,100,blocks
ajenti,11,../clone_code/trad/ajenti/ajenti/usersync/unix.py.pyindent,37,39,2926,100,blocks
ajenti,12,../clone_code/trad/ajenti/ajenti/ui/binder.py.pyindent,184,186,3017,100,blocks
ajenti,12,../clone_code/trad/ajenti/ajenti/ui/binder.py.pyindent,230,232,3028,100,blocks
ajenti,13,../clone_code/trad/ajenti/docs/source/conf.py.pyindent,60,64,3494,100,blocks
ajenti,13,../clone_code/trad/ajenti/docs/source/conf.py.pyindent,67,71,3499,100,blocks
ajenti,1,../clone_code/trad/ajenti/ajenti/plugins/hosts/main.py.pyindent,24,27,62,100,functions
