repoName,classid,language,nlines,nb_fragment,files_splitted,startlines_split,endlines_split,similarity,granularity,clone_type,reposType
CeNiN,2,csharp,53,2, csharp/CeNiN/src/CeNiN/Conv.cs.ifdefed,139,191,100,Block,Type 1,Deep Learning
CeNiN,2,csharp,45,2,csharp/CeNiN/src/CeNiN/Conv_3.cs.ifdefed,187,143,100,Block,Type 1,Deep Learning
CeNiN,3,csharp,14,2,csharp/CeNiN/src/CeNiN/Conv_3.cs.ifdefed,107,120,100,Block,Type 1,Deep Learning
CeNiN,3,csharp,14,2, csharp/CeNiN/src/CeNiN/Conv_2.cs.ifdefed,109,122,100,Block,Type 1,Deep Learning
ConvNetSharp,1,csharp,9,2,csharp/ConvNetSharp/Examples/Classify2DDemo/Program.cs.ifdefed,81,89,100,Block,Type 1,Deep Learning
ConvNetSharp,1,csharp,3,2, csharp/ConvNetSharp/Examples/FlowDemo/Classify2DDemo.cs.ifdefed,84,86,100,Block,Type 1,Deep Learning
ConvNetSharp,2,csharp,9,2, csharp/ConvNetSharp/Examples/FlowDemo/ExampleCPUSingle.cs.ifdefed,41,49,100,Block,Type 1,Deep Learning
ConvNetSharp,2,csharp,9,2,csharp/ConvNetSharp/Examples/FlowDemo/ExampleGPUSingle.cs.ifdefed,57,65,100,Block,Type 1,Deep Learning
ConvNetSharp,3,csharp,64,2, csharp/ConvNetSharp/Examples/FlowDemo/ExampleCPUSingle.cs.ifdefed,71,134,100,Block,Type 1,Deep Learning
ConvNetSharp,3,csharp,37,2,csharp/ConvNetSharp/Examples/FlowDemo/ExampleGPUSingle.cs.ifdefed,118,82,100,Block,Type 1,Deep Learning
ConvNetSharp,7,csharp,25,2, csharp/ConvNetSharp/Examples/MnistDemo/DataSet.cs.ifdefed,47,71,100,Block,Type 1,Deep Learning
ConvNetSharp,7,csharp,23,2,csharp/ConvNetSharp/Examples/FluentMnistDemo/DataSet.cs.ifdefed,48,70,100,Block,Type 1,Deep Learning
ConvNetSharp,8,csharp,57,2, csharp/ConvNetSharp/Examples/MnistDemo.GPU/DataSet.cs.ifdefed,21,77,100,Function,Type 1,Deep Learning
ConvNetSharp,8,csharp,57,2,csharp/ConvNetSharp/Examples/MnistDemo.Flow.GPU/DataSet.cs.ifdefed,20,76,100,Function,Type 1,Deep Learning
ConvNetSharp,9,csharp,16,2, csharp/ConvNetSharp/Examples/MnistDemo.GPU/Program.cs.ifdefed,101,116,100,Function,Type 1,Deep Learning
ConvNetSharp,9,csharp,16,2,csharp/ConvNetSharp/Examples/MnistDemo.Flow.GPU/Program.cs.ifdefed,106,121,100,Function,Type 1,Deep Learning
ConvNetSharp,10,csharp,10,2, csharp/ConvNetSharp/Examples/MnistDemo.GPU/Program.cs.ifdefed,118,127,100,Function,Type 1,Deep Learning
ConvNetSharp,10,csharp,10,2,csharp/ConvNetSharp/Examples/MnistDemo.Flow.GPU/Program.cs.ifdefed,123,132,100,Function,Type 1,Deep Learning
ConvNetSharp,13,csharp,3,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/LeakyReluGradient.cs.ifdefed,58,56,100,Function,Type 1,Deep Learning
ConvNetSharp,13,csharp,13,2, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/LeakyRelu.cs.ifdefed,51,63,100,Function,Type 1,Deep Learning
ConvNetSharp,15,csharp,14,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Training/AdamOptimizer.cs.ifdefed,35,48,100,Function,Type 1,Deep Learning
ConvNetSharp,15,csharp,14,2, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Training/GradientDescentOptimizer.cs.ifdefed,29,42,100,Function,Type 1,Deep Learning
ConvNetSharp,16,csharp,18,2, csharp/ConvNetSharp/src/ConvNetSharp.Volume.GPU/Double/VolumeStorage.cs.ifdefed,260,277,100,Function,Type 1,Deep Learning
ConvNetSharp,16,csharp,19,2,csharp/ConvNetSharp/src/ConvNetSharp.Volume.GPU/Single/VolumeStorage.cs.ifdefed,258,276,100,Function,Type 1,Deep Learning
ConvNetSharp,19,csharp,56,2,csharp/ConvNetSharp/Examples/MnistDemo.Flow.GPU/DataSet.cs.ifdefed,21,76,100,Block,Type 1,Deep Learning
ConvNetSharp,19,csharp,56,2, csharp/ConvNetSharp/Examples/MnistDemo.GPU/DataSet.cs.ifdefed,22,77,100,Block,Type 1,Deep Learning
ConvNetSharp,20,csharp,15,2, csharp/ConvNetSharp/Examples/MnistDemo.GPU/Program.cs.ifdefed,102,116,100,Block,Type 1,Deep Learning
ConvNetSharp,20,csharp,15,2,csharp/ConvNetSharp/Examples/MnistDemo.Flow.GPU/Program.cs.ifdefed,107,121,100,Block,Type 1,Deep Learning
ConvNetSharp,21,csharp,9,2,csharp/ConvNetSharp/Examples/MnistDemo.Flow.GPU/Program.cs.ifdefed,124,132,100,Block,Type 1,Deep Learning
ConvNetSharp,21,csharp,9,2, csharp/ConvNetSharp/Examples/MnistDemo.GPU/Program.cs.ifdefed,119,127,100,Block,Type 1,Deep Learning
ConvNetSharp,22,csharp,19,2, csharp/ConvNetSharp/src/ConvNetSharp.Core/Fluent/FluentNet.cs.ifdefed,69,87,100,Block,Type 1,Deep Learning
ConvNetSharp,22,csharp,13,2,csharp/ConvNetSharp/src/ConvNetSharp.Core/Net.cs.ifdefed,72,84,100,Block,Type 1,Deep Learning
ConvNetSharp,23,csharp,17,2,csharp/ConvNetSharp/src/ConvNetSharp.Core/Layers/ConvLayer.cs.ifdefed,57,41,100,Block,Type 1,Deep Learning
ConvNetSharp,23,csharp,29,2, csharp/ConvNetSharp/src/ConvNetSharp.Core/Layers/PoolLayer.cs.ifdefed,35,63,100,Block,Type 1,Deep Learning
ConvNetSharp,24,csharp,8,2,csharp/ConvNetSharp/src/ConvNetSharp.Core/Layers/ConvLayer.cs.ifdefed,107,114,100,Block,Type 1,Deep Learning
ConvNetSharp,24,csharp,7,2, csharp/ConvNetSharp/src/ConvNetSharp.Core/Layers/FullyConnLayer.cs.ifdefed,53,59,100,Block,Type 1,Deep Learning
ConvNetSharp,28,csharp,13,3,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Sum.cs.ifdefed,16,28,100,Block,Type 1,Deep Learning
ConvNetSharp,28,csharp,3,3, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Const.cs.ifdefed,21,23,100,Block,Type 1,Deep Learning
ConvNetSharp,28,csharp,8,3, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Reshape.cs.ifdefed,29,36,100,Block,Type 1,Deep Learning
ConvNetSharp,29,csharp,11,2, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Const.cs.ifdefed,85,95,100,Block,Type 1,Deep Learning
ConvNetSharp,29,csharp,1,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Reshape.cs.ifdefed,90,90,100,Block,Type 1,Deep Learning
ConvNetSharp,31,csharp,4,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/LeakyReluGradient.cs.ifdefed,59,56,100,Block,Type 1,Deep Learning
ConvNetSharp,31,csharp,12,2, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/LeakyRelu.cs.ifdefed,52,63,100,Block,Type 1,Deep Learning
ConvNetSharp,33,csharp,4,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Sum.cs.ifdefed,27,24,100,Block,Type 1,Deep Learning
ConvNetSharp,33,csharp,24,2, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Reshape.cs.ifdefed,14,37,100,Block,Type 1,Deep Learning
ConvNetSharp,34,csharp,13,2, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Training/GradientDescentOptimizer.cs.ifdefed,30,42,100,Block,Type 1,Deep Learning
ConvNetSharp,34,csharp,13,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Training/AdamOptimizer.cs.ifdefed,36,48,100,Block,Type 1,Deep Learning
ConvNetSharp,35,csharp,6,2,csharp/ConvNetSharp/src/ConvNetSharp.Volume.GPU/Single/Volume.cs.ifdefed,20,25,100,Block,Type 1,Deep Learning
ConvNetSharp,35,csharp,6,2, csharp/ConvNetSharp/src/ConvNetSharp.Volume.GPU/Double/Volume.cs.ifdefed,21,26,100,Block,Type 1,Deep Learning
ConvNetSharp,36,csharp,6,2,csharp/ConvNetSharp/src/ConvNetSharp.Volume.GPU/Single/Volume.cs.ifdefed,28,33,100,Block,Type 1,Deep Learning
ConvNetSharp,36,csharp,6,2, csharp/ConvNetSharp/src/ConvNetSharp.Volume.GPU/Double/Volume.cs.ifdefed,29,34,100,Block,Type 1,Deep Learning
