repoName,classid,language,nlines,nb_fragment,files_splitted,startlines_split,endlines_split,similarity,granularity,clone_type,reposType
AspectCore-Framework,1,csharp,12,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/Extensions/InternalExtensions.cs.ifdefed,32,43,100,Block,Type 1,Traditional
AspectCore-Framework,1,csharp,12,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Core/Utils/MethodUtils.cs.ifdefed,18,29,100,Block,Type 1,Traditional
AspectCore-Framework,1,csharp,11,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/PropertyReflector.cs.ifdefed,53,63,100,Function,Type 1,Traditional
AspectCore-Framework,1,csharp,5,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/FieldReflector.cs.ifdefed,56,60,100,Function,Type 1,Traditional
AspectCore-Framework,2,csharp,8,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Core/Utils/MethodUtils.cs.ifdefed,46,39,100,Block,Type 1,Traditional
AspectCore-Framework,2,csharp,22,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/Extensions/InternalExtensions.cs.ifdefed,32,53,100,Block,Type 1,Traditional
AspectCore-Framework,2,csharp,10,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.Call.cs.ifdefed,88,97,100,Function,Type 1,Traditional
AspectCore-Framework,2,csharp,10,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.Static.cs.ifdefed,81,90,100,Function,Type 1,Traditional
AspectCore-Framework,3,csharp,25,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AsyncIncreamentAttribute.cs.ifdefed,10,34,100,Function,Type 1,Traditional
AspectCore-Framework,3,csharp,15,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/AsyncInterceptorTests.cs.ifdefed,15,29,100,Function,Type 1,Traditional
AspectCore-Framework,4,csharp,34,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AsyncInterceptorTests.cs.ifdefed,45,78,100,Function,Type 1,Traditional
AspectCore-Framework,4,csharp,24,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/AsyncInterceptorTests.cs.ifdefed,73,50,100,Function,Type 1,Traditional
AspectCore-Framework,5,csharp,12,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/AwaitBeforeInvokeNextTests.cs.ifdefed,15,26,100,Function,Type 1,Traditional
AspectCore-Framework,5,csharp,10,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AwaitBeforeInvokeNextTests.cs.ifdefed,16,25,100,Function,Type 1,Traditional
AspectCore-Framework,6,csharp,12,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/ExcuteTimesTests.cs.ifdefed,16,27,100,Function,Type 1,Traditional
AspectCore-Framework,6,csharp,12,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/ExcuteTimesTests.cs.ifdefed,19,30,100,Function,Type 1,Traditional
AspectCore-Framework,9,csharp,10,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/PropertyReflector.cs.ifdefed,54,63,100,Block,Type 1,Traditional
AspectCore-Framework,9,csharp,4,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/FieldReflector.cs.ifdefed,57,60,100,Block,Type 1,Traditional
AspectCore-Framework,11,csharp,10,3, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.Call.cs.ifdefed,43,52,100,Block,Type 1,Traditional
AspectCore-Framework,11,csharp,10,3,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.cs.ifdefed,42,51,100,Block,Type 1,Traditional
AspectCore-Framework,11,csharp,10,3, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.Static.cs.ifdefed,36,45,100,Block,Type 1,Traditional
AspectCore-Framework,12,csharp,18,3,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.Call.cs.ifdefed,56,73,100,Block,Type 1,Traditional
AspectCore-Framework,12,csharp,18,3, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.cs.ifdefed,57,74,100,Block,Type 1,Traditional
AspectCore-Framework,12,csharp,18,3, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.Static.cs.ifdefed,50,67,100,Block,Type 1,Traditional
AspectCore-Framework,13,csharp,10,3,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.Call.cs.ifdefed,76,85,100,Block,Type 1,Traditional
AspectCore-Framework,13,csharp,10,3, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.cs.ifdefed,77,86,100,Block,Type 1,Traditional
AspectCore-Framework,13,csharp,10,3, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.Static.cs.ifdefed,70,79,100,Block,Type 1,Traditional
AspectCore-Framework,14,csharp,9,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.Static.cs.ifdefed,82,90,100,Block,Type 1,Traditional
AspectCore-Framework,14,csharp,9,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/MethodReflector.Call.cs.ifdefed,89,97,100,Block,Type 1,Traditional
AspectCore-Framework,16,csharp,7,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/NonAspectTest.cs.ifdefed,39,45,100,Block,Type 1,Traditional
AspectCore-Framework,16,csharp,7,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Autofac.Test/NonAspectTest.cs.ifdefed,36,42,100,Block,Type 1,Traditional
AspectCore-Framework,17,csharp,19,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AsyncIncreamentAttribute.cs.ifdefed,16,34,100,Block,Type 1,Traditional
AspectCore-Framework,17,csharp,19,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/AsyncInterceptorTests.cs.ifdefed,11,29,100,Block,Type 1,Traditional
AspectCore-Framework,18,csharp,25,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/AsyncInterceptorTests.cs.ifdefed,74,50,100,Block,Type 1,Traditional
AspectCore-Framework,18,csharp,33,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AsyncInterceptorTests.cs.ifdefed,46,78,100,Block,Type 1,Traditional
AspectCore-Framework,19,csharp,10,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/AwaitBeforeInvokeNextTests.cs.ifdefed,17,26,100,Block,Type 1,Traditional
AspectCore-Framework,19,csharp,10,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/AwaitBeforeInvokeNextTests.cs.ifdefed,16,25,100,Block,Type 1,Traditional
AspectCore-Framework,20,csharp,11,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.LightInject.Test/ExcuteTimesTests.cs.ifdefed,17,27,100,Block,Type 1,Traditional
AspectCore-Framework,20,csharp,11,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/tests/AspectCore.Extensions.Windsor.Test/ExcuteTimesTests.cs.ifdefed,20,30,100,Block,Type 1,Traditional
Avalonia,2,csharp,207,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Avalonia.OpenGL/Controls/OpenGlControlBase.cs.ifdefed,252,46,100,Block,Type 1,Traditional
Avalonia,2,csharp,215,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/ControlCatalog/Pages/OpenGlPage.xaml.cs.ifdefed,42,256,100,Block,Type 1,Traditional
Avalonia,2,csharp,206,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Avalonia.OpenGL/Controls/OpenGlControlBase.cs.ifdefed,251,46,100,Function,Type 1,Traditional
Avalonia,2,csharp,216,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/ControlCatalog/Pages/OpenGlPage.xaml.cs.ifdefed,41,256,100,Function,Type 1,Traditional
Avalonia,4,csharp,23,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Avalonia.Diagnostics/Diagnostics/ViewModels/ViewModelBase.cs.ifdefed,11,33,100,Function,Type 1,Traditional
Avalonia,4,csharp,4,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/MiniMvvm/ViewModelBase.cs.ifdefed,23,20,100,Function,Type 1,Traditional
Avalonia,5,csharp,8,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/ControlCatalog/ViewModels/ItemsRepeaterPageViewModel.cs.ifdefed,35,42,100,Block,Type 1,Traditional
Avalonia,5,csharp,8,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/VirtualizationDemo/ViewModels/MainWindowViewModel.cs.ifdefed,100,107,100,Block,Type 1,Traditional
Avalonia,5,csharp,14,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/RenderDemo/Pages/TransitionsPage.xaml.cs.ifdefed,22,35,100,Function,Type 1,Traditional
Avalonia,5,csharp,14,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/RenderDemo/Pages/AnimationsPage.xaml.cs.ifdefed,28,41,100,Function,Type 1,Traditional
Avalonia,6,csharp,10,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Avalonia.Diagnostics/Diagnostics/ViewModels/ViewModelBase.cs.ifdefed,24,33,100,Block,Type 1,Traditional
Avalonia,6,csharp,9,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/MiniMvvm/ViewModelBase.cs.ifdefed,12,20,100,Block,Type 1,Traditional
Avalonia,6,csharp,6,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/RenderDemo/Pages/PathMeasurementPage.cs.ifdefed,31,36,100,Function,Type 1,Traditional
Avalonia,6,csharp,6,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/RenderDemo/Pages/RenderTargetBitmapPage.cs.ifdefed,22,27,100,Function,Type 1,Traditional
Avalonia,7,csharp,13,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/RenderDemo/Pages/TransitionsPage.xaml.cs.ifdefed,23,35,100,Block,Type 1,Traditional
Avalonia,7,csharp,13,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/RenderDemo/Pages/AnimationsPage.xaml.cs.ifdefed,29,41,100,Block,Type 1,Traditional
Avalonia,7,csharp,6,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/interop/WindowsInteropTest/SelectorForm.Designer.cs.ifdefed,16,21,100,Function,Type 1,Traditional
Avalonia,7,csharp,10,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/interop/WindowsInteropTest/EmbedToWinFormsDemo.Designer.cs.ifdefed,14,23,100,Function,Type 1,Traditional
Avalonia,8,csharp,6,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/RenderDemo/Pages/RenderTargetBitmapPage.cs.ifdefed,32,27,100,Block,Type 1,Traditional
Avalonia,8,csharp,14,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/RenderDemo/Pages/PathMeasurementPage.cs.ifdefed,23,36,100,Block,Type 1,Traditional
Avalonia,8,csharp,28,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Android/Avalonia.Android/PlatformIconLoader.cs.ifdefed,8,35,100,Function,Type 1,Traditional
Avalonia,8,csharp,14,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/iOS/Avalonia.iOS/Stubs.cs.ifdefed,28,15,100,Function,Type 1,Traditional
Avalonia,9,csharp,5,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/interop/WindowsInteropTest/SelectorForm.Designer.cs.ifdefed,17,21,100,Block,Type 1,Traditional
Avalonia,9,csharp,9,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/samples/interop/WindowsInteropTest/EmbedToWinFormsDemo.Designer.cs.ifdefed,15,23,100,Block,Type 1,Traditional
Avalonia,9,csharp,10,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Markup/Avalonia.Markup.Xaml/MarkupExtensions/CompiledBindings/PropertyInfoAccessorFactory.cs.ifdefed,52,61,100,Function,Type 1,Traditional
Avalonia,9,csharp,10,2,/tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Avalonia.Base/Data/Core/Plugins/AvaloniaPropertyAccessorPlugin.cs.ifdefed,104,113,100,Function,Type 1,Traditional
Avalonia,10,csharp,19,2, /tmpstore/bimus/b-repositories/trad/csharp/Avalonia/src/Android/Avalonia.Android/ChoreographerTimer.cs.ifdefed,37,55,100,Block,Type 1,Traditional
