repoName,classid,language,nlines,nb_fragment,files_splitted,startlines_split,endlines_split,similarity,granularity,clone_type,reposType
CeNiN,4,csharp,5,2,csharp/CeNiN/src/CeNiN/Tensor.cs.ifdefed,146,150,100,Block,Type 2,Deep Learning
CeNiN,4,csharp,5,2, csharp/CeNiN/src/CeNiN/Conv_2.cs.ifdefed,227,231,100,Block,Type 2,Deep Learning
ConvNetSharp,13,csharp,13,2, csharp/ConvNetSharp/src/ConvNetSharp.Core.Tests/TanhLayerTests.cs.ifdefed,81,93,100,Function,Type 2,Deep Learning
ConvNetSharp,13,csharp,13,2,csharp/ConvNetSharp/src/ConvNetSharp.Core.Tests/SigmoidLayerTests.cs.ifdefed,80,92,100,Function,Type 2,Deep Learning
ConvNetSharp,14,csharp,7,2, csharp/ConvNetSharp/src/ConvNetSharp.Core/Fluent/Extensions.cs.ifdefed,26,32,100,Function,Type 2,Deep Learning
ConvNetSharp,14,csharp,7,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Fluent/Extensions.cs.ifdefed,10,16,100,Function,Type 2,Deep Learning
ConvNetSharp,16,csharp,7,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Fluent/Extensions.cs.ifdefed,42,48,100,Function,Type 2,Deep Learning
ConvNetSharp,16,csharp,7,2, csharp/ConvNetSharp/src/ConvNetSharp.Core/Fluent/Extensions.cs.ifdefed,50,56,100,Function,Type 2,Deep Learning
ConvNetSharp,18,csharp,7,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Fluent/Extensions.cs.ifdefed,58,64,100,Function,Type 2,Deep Learning
ConvNetSharp,18,csharp,7,2, csharp/ConvNetSharp/src/ConvNetSharp.Core/Fluent/Extensions.cs.ifdefed,66,72,100,Function,Type 2,Deep Learning
ConvNetSharp,20,csharp,12,2,csharp/ConvNetSharp/src/ConvNetSharp.Core/Net.cs.ifdefed,89,100,100,Function,Type 2,Deep Learning
ConvNetSharp,20,csharp,12,2, csharp/ConvNetSharp/src/ConvNetSharp.Core/Fluent/FluentNet.cs.ifdefed,92,103,100,Function,Type 2,Deep Learning
ConvNetSharp,22,csharp,13,3, csharp/ConvNetSharp/src/ConvNetSharp.Core/Layers/LeakyReluLayer.cs.ifdefed,51,63,100,Function,Type 2,Deep Learning
ConvNetSharp,22,csharp,3,3, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/LeakyRelu.cs.ifdefed,58,56,100,Function,Type 2,Deep Learning
ConvNetSharp,22,csharp,8,3,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/LeakyReluGradient.cs.ifdefed,25,32,100,Function,Type 2,Deep Learning
ConvNetSharp,24,csharp,12,2,csharp/ConvNetSharp/src/ConvNetSharp.Core.Tests/SigmoidLayerTests.cs.ifdefed,81,92,100,Block,Type 2,Deep Learning
ConvNetSharp,24,csharp,12,2, csharp/ConvNetSharp/src/ConvNetSharp.Core.Tests/TanhLayerTests.cs.ifdefed,82,93,100,Block,Type 2,Deep Learning
ConvNetSharp,27,csharp,4,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Fluent/Extensions.cs.ifdefed,51,48,100,Block,Type 2,Deep Learning
ConvNetSharp,27,csharp,14,2, csharp/ConvNetSharp/src/ConvNetSharp.Core/Fluent/Extensions.cs.ifdefed,43,56,100,Block,Type 2,Deep Learning
ConvNetSharp,28,csharp,14,2, csharp/ConvNetSharp/src/ConvNetSharp.Core/Fluent/Extensions.cs.ifdefed,59,72,100,Block,Type 2,Deep Learning
ConvNetSharp,28,csharp,4,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Fluent/Extensions.cs.ifdefed,67,64,100,Block,Type 2,Deep Learning
ConvNetSharp,29,csharp,12,2, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/LeakyRelu.cs.ifdefed,45,56,100,Function,Type 2,Deep Learning
ConvNetSharp,29,csharp,29,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Activation.cs.ifdefed,36,64,100,Function,Type 2,Deep Learning
ConvNetSharp,30,csharp,24,2, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Add.cs.ifdefed,44,67,100,Function,Type 2,Deep Learning
ConvNetSharp,30,csharp,24,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Mult.cs.ifdefed,41,64,100,Function,Type 2,Deep Learning
ConvNetSharp,31,csharp,11,2, csharp/ConvNetSharp/src/ConvNetSharp.Core/Fluent/FluentNet.cs.ifdefed,93,103,100,Block,Type 2,Deep Learning
ConvNetSharp,31,csharp,11,2,csharp/ConvNetSharp/src/ConvNetSharp.Core/Net.cs.ifdefed,90,100,100,Block,Type 2,Deep Learning
ConvNetSharp,32,csharp,10,3,csharp/ConvNetSharp/src/ConvNetSharp.Core/Layers/ConvLayer.cs.ifdefed,33,24,100,Block,Type 2,Deep Learning
ConvNetSharp,32,csharp,2,3, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Layers/ConvLayer.cs.ifdefed,20,19,100,Block,Type 2,Deep Learning
ConvNetSharp,32,csharp,23,3, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Variable.cs.ifdefed,15,37,100,Block,Type 2,Deep Learning
ConvNetSharp,32,csharp,21,2, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Power.cs.ifdefed,37,57,100,Function,Type 2,Deep Learning
ConvNetSharp,32,csharp,22,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Div.cs.ifdefed,43,64,100,Function,Type 2,Deep Learning
ConvNetSharp,35,csharp,12,3, csharp/ConvNetSharp/src/ConvNetSharp.Core/Layers/LeakyReluLayer.cs.ifdefed,52,63,100,Block,Type 2,Deep Learning
ConvNetSharp,35,csharp,4,3, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/LeakyRelu.cs.ifdefed,59,56,100,Block,Type 2,Deep Learning
ConvNetSharp,35,csharp,7,3,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/LeakyReluGradient.cs.ifdefed,26,32,100,Block,Type 2,Deep Learning
ConvNetSharp,38,csharp,7,2,csharp/ConvNetSharp/src/ConvNetSharp.Core/Training/AdamTrainer.cs.ifdefed,45,51,100,Block,Type 2,Deep Learning
ConvNetSharp,38,csharp,7,2, csharp/ConvNetSharp/src/ConvNetSharp.Core/Training/SgdTrainer.cs.ifdefed,39,45,100,Block,Type 2,Deep Learning
ConvNetSharp,43,csharp,14,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Layers/FullyConnLayer.cs.ifdefed,24,37,100,Block,Type 2,Deep Learning
ConvNetSharp,43,csharp,2,2, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Layers/ConvLayer.cs.ifdefed,30,31,100,Block,Type 2,Deep Learning
ConvNetSharp,47,csharp,28,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Activation.cs.ifdefed,37,64,100,Block,Type 2,Deep Learning
ConvNetSharp,47,csharp,11,2, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/LeakyRelu.cs.ifdefed,46,56,100,Block,Type 2,Deep Learning
ConvNetSharp,48,csharp,23,2, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Add.cs.ifdefed,45,67,100,Block,Type 2,Deep Learning
ConvNetSharp,48,csharp,23,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Mult.cs.ifdefed,42,64,100,Block,Type 2,Deep Learning
ConvNetSharp,53,csharp,20,2, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Power.cs.ifdefed,38,57,100,Block,Type 2,Deep Learning
ConvNetSharp,53,csharp,21,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Div.cs.ifdefed,44,64,100,Block,Type 2,Deep Learning
ConvNetSharp,54,csharp,3,2, csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/Dropout.cs.ifdefed,43,45,100,Block,Type 2,Deep Learning
ConvNetSharp,54,csharp,9,2,csharp/ConvNetSharp/src/ConvNetSharp.Flow/Ops/DropoutGradient.cs.ifdefed,40,48,100,Block,Type 2,Deep Learning
ConvNetSharp,73,csharp,7,2,csharp/ConvNetSharp/src/ConvNetSharp.Volume.GPU/Single/VolumeStorage.cs.ifdefed,123,129,100,Block,Type 2,Deep Learning
ConvNetSharp,73,csharp,7,2, csharp/ConvNetSharp/src/ConvNetSharp.Volume.GPU/Double/VolumeStorage.cs.ifdefed,149,155,100,Block,Type 2,Deep Learning
DeepDriver,1,java,22,3, java/DeepDriver/src/deepDriver/dl/aml/ann/ANN.java,42,63,100,Block,Type 2,Deep Learning
DeepDriver,1,java,33,3, java/DeepDriver/src/deepDriver/dl/aml/ann/SparseAutoEncoder.java,17,49,100,Block,Type 2,Deep Learning
DeepDriver,1,java,33,3,java/DeepDriver/src/deepDriver/dl/aml/ann/ArtifactNeuroNetworkV2.java,56,24,100,Block,Type 2,Deep Learning
DeepDriver,1,java,22,3, java/DeepDriver/src/deepDriver/dl/aml/ann/ANN.java,42,63,100,Function,Type 2,Deep Learning
DeepDriver,1,java,33,3, java/DeepDriver/src/deepDriver/dl/aml/ann/SparseAutoEncoder.java,17,49,100,Function,Type 2,Deep Learning
DeepDriver,1,java,33,3,java/DeepDriver/src/deepDriver/dl/aml/ann/ArtifactNeuroNetworkV2.java,56,24,100,Function,Type 2,Deep Learning
DeepDriver,8,java,355,3, java/DeepDriver/src/deepDriver/dl/aml/math/MathUtilBase.java,76,430,100,Block,Type 2,Deep Learning
DeepDriver,8,java,361,3, java/DeepDriver/src/deepDriver/dl/aml/ann/Normalizer.java,442,82,100,Block,Type 2,Deep Learning
DeepDriver,8,java,25,3,java/DeepDriver/src/deepDriver/dl/aml/math/MathUtil.java,424,448,100,Block,Type 2,Deep Learning
DeepDriver,20,java,106,3,java/DeepDriver/src/deepDriver/dl/aml/math/MathUtil.java,217,112,100,Block,Type 2,Deep Learning
DeepDriver,20,java,140,3, java/DeepDriver/src/deepDriver/dl/aml/attention/SoftAttention.java,106,245,100,Block,Type 2,Deep Learning
DeepDriver,20,java,17,3, java/DeepDriver/src/deepDriver/dl/aml/math/MathUtilBase.java,239,223,100,Block,Type 2,Deep Learning
DeepDriver,21,java,116,3, java/DeepDriver/src/deepDriver/dl/aml/attention/SoftAttention.java,172,57,100,Block,Type 2,Deep Learning
DeepDriver,21,java,61,3, java/DeepDriver/src/deepDriver/dl/aml/lstm/distribution/Seq2SeqSlave.java,53,113,100,Block,Type 2,Deep Learning
DeepDriver,21,java,68,3,java/DeepDriver/src/deepDriver/dl/aml/lstm/distribution/Seq2SeqAsycSlaveV6.java,109,176,100,Block,Type 2,Deep Learning
DeepDriver,22,java,146,4, java/DeepDriver/src/deepDriver/dl/aml/cnn/img/W2VDataStreamV2.java,173,28,100,Function,Type 2,Deep Learning
DeepDriver,22,java,129,4, java/DeepDriver/src/deepDriver/dl/aml/lstm/CxtLeverager.java,23,151,100,Function,Type 2,Deep Learning
DeepDriver,22,java,33,4,java/DeepDriver/src/deepDriver/dl/aml/cnn/img/W2VDataStream.java,146,178,100,Function,Type 2,Deep Learning
DeepDriver,22,java,7,4, java/DeepDriver/src/deepDriver/dl/aml/cnn/img/ImgDataStream.java,124,130,100,Function,Type 2,Deep Learning
DeepDriver,23,java,154,3,java/DeepDriver/src/deepDriver/dl/aml/cnn/img/W2VDataStream.java,17,170,100,Function,Type 2,Deep Learning
DeepDriver,23,java,117,3, java/DeepDriver/src/deepDriver/dl/aml/cnn/img/W2VDataStreamV2.java,138,22,100,Function,Type 2,Deep Learning
DeepDriver,23,java,23,3, java/DeepDriver/src/deepDriver/dl/aml/distribution/modelParallel/ThreadParallel.java,165,143,100,Function,Type 2,Deep Learning
DeepDriver,24,java,16,2,java/DeepDriver/src/deepDriver/dl/aml/cnn/img/W2VDataStream.java,153,168,100,Function,Type 2,Deep Learning
