repoName,classid,language,nlines,nb_fragment,files_splitted,startlines_split,endlines_split,similarity,granularity,clone_type,reposType
AspectCore-Framework,1,csharp,3,3,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/sample/AspectCore.Extensions.DataAnnotations.Sample/IAccountService.cs.ifdefed,25,27,80,Block,Type 3,Traditional
AspectCore-Framework,1,csharp,7,3, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.AspNetCore/Interceptors/ModelBindingAdapterAttribute.cs.ifdefed,30,36,80,Block,Type 3,Traditional
AspectCore-Framework,1,csharp,9,3, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.DataAnnotations/AnnotationDataValidator.cs.ifdefed,22,30,80,Block,Type 3,Traditional
AspectCore-Framework,1,csharp,20,4, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Abstractions/Configuration/InterceptorCollection.cs.ifdefed,12,31,71,Function,Type 3,Traditional
AspectCore-Framework,1,csharp,2,4, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Abstractions/Configuration/AspectValidationHandlerCollection.cs.ifdefed,19,20,71,Function,Type 3,Traditional
AspectCore-Framework,1,csharp,6,4, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.DataValidation/DataValidationErrorCollection.cs.ifdefed,24,19,71,Function,Type 3,Traditional
AspectCore-Framework,1,csharp,16,4,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Core/DynamicProxy/AspectBuilderFactory.cs.ifdefed,11,26,71,Function,Type 3,Traditional
AspectCore-Framework,6,csharp,9,4,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Core/DynamicProxy/AspectContext.Runtime.cs.ifdefed,64,72,71,Block,Type 3,Traditional
AspectCore-Framework,6,csharp,1238,4, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Core/DynamicProxy/AspectActivator.cs.ifdefed,1265,28,71,Block,Type 3,Traditional
AspectCore-Framework,6,csharp,5,4, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Core/Utils/ProxyGeneratorUtils.cs.ifdefed,18,22,71,Block,Type 3,Traditional
AspectCore-Framework,6,csharp,1251,4, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Abstractions/DynamicProxy/AspectActivatorContext.cs.ifdefed,21,1271,71,Block,Type 3,Traditional
AspectCore-Framework,6,csharp,3,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/Pair.cs.ifdefed,35,33,80,Function,Type 3,Traditional
AspectCore-Framework,6,csharp,14,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Abstractions/DynamicProxy/AspectValidationContext.cs.ifdefed,28,41,80,Function,Type 3,Traditional
AspectCore-Framework,7,csharp,13,2, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Abstractions/DynamicProxy/AspectValidationContext.cs.ifdefed,29,41,80,Block,Type 3,Traditional
AspectCore-Framework,7,csharp,4,2,/tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/Pair.cs.ifdefed,36,33,80,Block,Type 3,Traditional
AspectCore-Framework,8,csharp,38,3, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Core/DependencyInjection/ServiceResolver.cs.ifdefed,14,51,75,Block,Type 3,Traditional
AspectCore-Framework,8,csharp,8,3, /tmpstore/bimus/b-repositories/trad/csharp/AspectCore-Framework/src/AspectCore.Extensions.Reflection/Emit/IndexedLocalBuilder.cs.ifdefed,31,38,75,Block,Type 3,Traditional
