repoName,granularity,clone_type,language,reposType,nb_fragment
Seq2SeqSharp,Block,type 1,csharp,Deep Learning,391
Seq2SeqSharp,Block,type 2,csharp,Deep Learning,684
Seq2SeqSharp,Block,type 3,csharp,Deep Learning,477
Seq2SeqSharp,Function,type 1,csharp,Deep Learning,51
Seq2SeqSharp,Function,type 2,csharp,Deep Learning,293
Seq2SeqSharp,Function,type 3,csharp,Deep Learning,210
ShareX,Block,type 1,csharp,Traditional,761
ShareX,Block,type 2,csharp,Traditional,628
ShareX,Block,type 3,csharp,Traditional,1612
ShareX,Function,type 1,csharp,Traditional,224
ShareX,Function,type 2,csharp,Traditional,285
ShareX,Function,type 3,csharp,Traditional,714
SharpNet,Block,type 1,csharp,Deep Learning,97
SharpNet,Block,type 2,csharp,Deep Learning,478
SharpNet,Block,type 3,csharp,Deep Learning,377
SharpNet,Function,type 1,csharp,Deep Learning,19
SharpNet,Function,type 2,csharp,Deep Learning,290
SharpNet,Function,type 3,csharp,Deep Learning,200
SiaNet,Block,type 1,csharp,Deep Learning,32365
SiaNet,Block,type 2,csharp,Deep Learning,23289
SiaNet,Block,type 3,csharp,Deep Learning,14874
SiaNet,Function,type 1,csharp,Deep Learning,23558
SiaNet,Function,type 2,csharp,Deep Learning,19853
SiaNet,Function,type 3,csharp,Deep Learning,12816
TensorShader,Block,type 1,csharp,Deep Learning,1257
TensorShader,Block,type 2,csharp,Deep Learning,2652
TensorShader,Block,type 3,csharp,Deep Learning,1902
TensorShader,Function,type 1,csharp,Deep Learning,553
TensorShader,Function,type 2,csharp,Deep Learning,1621
TensorShader,Function,type 3,csharp,Deep Learning,954
Vortex,Block,type 1,csharp,Deep Learning,109
Vortex,Block,type 2,csharp,Deep Learning,145
Vortex,Block,type 3,csharp,Deep Learning,133
Vortex,Function,type 1,csharp,Deep Learning,28
Vortex,Function,type 2,csharp,Deep Learning,123
Vortex,Function,type 3,csharp,Deep Learning,117
aspnetboilerplate,Block,type 1,csharp,Traditional,2609
aspnetboilerplate,Block,type 2,csharp,Traditional,806
aspnetboilerplate,Block,type 3,csharp,Traditional,2363
aspnetboilerplate,Function,type 1,csharp,Traditional,1023
aspnetboilerplate,Function,type 2,csharp,Traditional,425
aspnetboilerplate,Function,type 3,csharp,Traditional,1304
deeplearning4j,Block,type 1,java,Deep Learning,17830
deeplearning4j,Block,type 2,java,Deep Learning,21181
deeplearning4j,Block,type 3,java,Deep Learning,10132
deeplearning4j,Function,type 1,java,Deep Learning,6735
deeplearning4j,Function,type 2,java,Deep Learning,15575
deeplearning4j,Function,type 3,java,Deep Learning,8102
djl,Block,type 1,java,Deep Learning,1198
djl,Block,type 2,java,Deep Learning,1864
djl,Block,type 3,java,Deep Learning,1411
djl,Function,type 1,java,Deep Learning,443
djl,Function,type 2,java,Deep Learning,1200
djl,Function,type 3,java,Deep Learning,896
dubbo,Function,type 1,java,Traditional,6708
dubbo,Function,type 2,java,Traditional,1652
dubbo,Function,type 3,java,Traditional,3173
efcore,Block,type 1,csharp,Traditional,15855
efcore,Block,type 2,csharp,Traditional,5403
