repoName_path,total_sloc,repo
b-repositories/DL/java/neuralnetworks,43902,neuralnetworks
b-repositories/DL/java/SANNet,16172,SANNet
b-repositories/DL/java/DeepDriver,32265,DeepDriver
b-repositories/DL/java/deeplearning4j,526195,deeplearning4j
b-repositories/DL/java/knime-deeplearning,49445,knime-deeplearning
b-repositories/DL/java/djl,74161,djl
